VK,Hold,Flight,char,jitter,source,sentence_id,label
65,282,189,A,284.0,mersenne,8379.0,1
69,378,168,E,24.0,xoroshiro128,15803.0,1
69,158,1050,E,1022.0,mersenne,17439.0,1
76,167,21,L,33.0,pcg64,10026.0,1
83,226,163,S,104.0,pcg64,17701.0,1
82,324,266,R,229.0,mersenne,659.0,1
32,330,875, ,51.0,mersenne,10583.0,1
51,100,138,3,559.0,pcg64,13515.0,1
79,54,105,O,74.0,human,,0
80,304,423,P,261.0,mersenne,6353.0,1
65,118,352,A,202.0,xoroshiro128,9343.0,1
67,80,288,C,56.0,human,,0
76,113,417,L,75.0,mersenne,15789.0,1
73,92,683,I,519.0,philox,5167.0,1
83,55,167,S,105.0,human,,0
82,78,412,R,195.0,pcg64,10237.0,1
76,237,344,L,110.0,xoroshiro128,17638.0,1
73,353,234,I,37.0,xoroshiro128,16398.0,1
69,355,484,E,217.0,mersenne,534.0,1
67,273,259,C,213.0,mersenne,12212.0,1
78,148,33,N,1075.0,mersenne,4016.0,1
73,57,209,I,46.0,mersenne,2410.0,1
32,177,133, ,65.0,mersenne,1694.0,1
65,104,104,A,0.0,human,,0
83,359,684,S,257.0,pcg64,14724.0,1
88,31,521,X,494.0,philox,6214.0,1
32,501,959, ,83.0,mersenne,6451.0,1
65,82,27,A,36.0,pcg64,9872.0,1
82,134,336,R,226.0,philox,12477.0,1
76,141,287,L,220.0,human,,0
32,302,605, ,58.0,pcg64,17530.0,1
84,159,442,T,203.0,xoroshiro128,4016.0,1
78,18,166,N,324.0,philox,5633.0,1
68,375,474,D,163.0,pcg64,4410.0,1
79,279,465,O,335.0,pcg64,5320.0,1
83,278,694,S,12.0,xoroshiro128,18814.0,1
82,104,195,R,13.0,human,,0
84,78,132,T,57.0,human,,0
73,284,459,I,302.0,xoroshiro128,8072.0,1
68,141,664,D,184.0,philox,16199.0,1
76,64,120,L,64.0,human,,0
65,278,1017,A,835.0,mersenne,9630.0,1
78,12,215,N,186.0,philox,1317.0,1
89,34,563,Y,102.0,pcg64,1328.0,1
32,274,1160, ,376.0,mersenne,2615.0,1
78,363,1175,N,903.0,mersenne,263.0,1
76,117,199,L,394.0,xoroshiro128,10741.0,1
73,136,533,I,64.0,xoroshiro128,8793.0,1
32,108,84, ,32.0,human,,0
65,102,48,A,458.0,philox,13057.0,1
78,47,281,N,16.0,human,,0
69,175,402,E,128.0,xoroshiro128,296.0,1
32,413,77, ,934.0,mersenne,732.0,1
69,72,88,E,88.0,human,,0
79,279,125,O,207.0,xoroshiro128,17999.0,1
69,149,457,E,373.0,human,,0
79,126,295,O,258.0,philox,1359.0,1
68,230,197,D,315.0,philox,1651.0,1
78,10,577,N,78.0,philox,14544.0,1
65,40,426,A,341.0,pcg64,5442.0,1
69,132,600,E,149.0,xoroshiro128,9684.0,1
32,119,162, ,470.0,philox,1890.0,1
32,194,586, ,107.0,philox,16256.0,1
65,285,141,A,274.0,xoroshiro128,3970.0,1
83,132,223,S,290.0,pcg64,5235.0,1
