hold_1,flight_1,hold_2,flight_2,hold_3,flight_3,hold_4,flight_4,hold_5,flight_5,hold_6,flight_6,hold_7,flight_7,hold_8,flight_8,hold_9,flight_9,hold_10,flight_10
94.649155,124.515205,26.41454,101.76029,45.856438,425.1381,107.03288,515.30817,32.176823,329.91116,19.873814,64.2607,57.441776,538.8467,106.2691,169.49576,118.7426,110.40646,189.38106,495.49304
49.51671,63.373184,12.505352,64.489914,32.16345,362.15796,95.2468,769.9568,9.533392,270.32327,5.3610106,30.698576,35.03751,603.1889,123.28383,57.886703,72.34338,62.69616,203.7807,522.8926
70.80161,89.78021,16.793465,81.39893,40.044014,389.8699,107.743675,732.795,14.965504,323.3397,10.312388,44.24551,35.033836,686.6684,121.194405,87.250725,95.35417,73.64805,204.01093,599.51575
47.60391,70.61923,11.11517,75.42786,22.846956,330.96118,62.226963,509.82916,14.373671,298.72183,10.088282,25.95582,29.783081,480.5842,46.233738,85.659996,71.228775,69.789635,155.52008,387.0347
98.10702,131.79485,26.118032,97.65585,39.375225,377.78073,112.26613,412.35187,27.999418,282.58102,20.153688,60.95095,64.1014,499.6097,93.002396,157.39093,105.77716,94.27467,164.11015,424.93286
79.07624,108.74253,17.30558,92.616394,30.755133,370.4658,97.133675,402.3666,22.328781,308.89493,16.372515,44.70039,62.331337,453.34998,76.04723,135.24448,104.28171,97.06014,153.14755,402.3854
51.408348,69.51297,12.163126,69.748764,20.537046,323.16415,56.00456,413.74655,15.801763,240.96541,10.0266075,28.831076,33.103848,407.92557,40.656223,105.88497,64.130615,73.2779,130.10847,316.8804
79.888405,116.77799,19.058851,82.0647,29.0699,382.83563,88.85342,356.74414,28.469559,282.9085,17.917505,51.5915,60.681644,433.91714,76.13902,174.06303,102.6067,98.59702,149.3085,411.38745
55.149284,87.42253,14.897298,87.278366,22.987728,304.17386,75.76079,306.18854,26.51376,220.63425,13.673472,35.753025,58.018063,346.18762,49.786594,129.0189,88.73439,93.98686,143.88654,287.90155
48.955124,103.767426,15.256826,89.07864,35.265995,336.22058,94.61738,609.6024,16.765467,294.43216,11.79601,37.36617,44.177265,569.9232,86.27611,84.84381,92.840164,85.40124,189.25023,588.19037
67.320435,96.69156,16.804785,81.24283,26.14188,326.65204,74.673615,297.34485,23.90633,239.11575,13.501723,41.228416,54.67354,362.33145,56.453262,168.98703,87.9332,108.310715,115.25023,322.51483
48.932507,72.85133,10.864003,59.35771,19.986603,292.83224,62.14273,431.84692,16.809418,219.03635,7.6230645,31.682835,42.497055,379.4237,53.28053,103.86588,76.585495,68.77372,119.860565,402.44003
74.97479,130.28821,21.847181,101.39997,33.25634,345.4886,100.10403,400.10196,23.239332,227.59964,17.885994,45.006344,74.27119,439.9088,84.375336,156.63586,122.763054,116.68643,139.82237,379.36154
110.55183,161.82167,33.40859,124.84007,46.792046,393.93747,121.22313,347.4702,41.369568,296.23407,32.659134,78.16263,79.79339,448.6117,89.757614,224.85863,125.142105,143.55605,167.55421,406.51224
